No.	中文	English	semantic_id	status	source	actual_content_id	access	localization_key
153	稳定重子物质	Stable Baryonic Matter	stable-baryonic-matter	NEW	new ModLiquids	stable-baryonic-matter	"ModLiquids.get(""stable-baryonic-matter"")"	liquid.mindustry_newhorizon-stable-baryonic-matter
154	饱和声子晶体溶液	Saturated Phononic Crystal Solution	saturated-phononic-crystal-solution	NEW	new ModLiquids	saturated-phononic-crystal-solution	"ModLiquids.get(""saturated-phononic-crystal-solution"")"	liquid.mindustry_newhorizon-saturated-phononic-crystal-solution
155	无损声子传输介质	Lossless Phonon Transmission Medium	lossless-phonon-transmission-medium	NEW	new ModLiquids	lossless-phonon-transmission-medium	"ModLiquids.get(""lossless-phonon-transmission-medium"")"	liquid.mindustry_newhorizon-lossless-phonon-transmission-medium
156	元始物质	Primordial Substance	primordial-substance	NEW	new ModLiquids	primordial-substance	"ModLiquids.get(""primordial-substance"")"	liquid.mindustry_newhorizon-primordial-substance
157	半稳定反物质	Semi-Stable Antimatter	semi-stable-antimatter	NEW	new ModLiquids	semi-stable-antimatter	"ModLiquids.get(""semi-stable-antimatter"")"	liquid.mindustry_newhorizon-semi-stable-antimatter
158	浓缩原始恒星等离子体混合物	Concentrated Primordial Star Plasma Mixture	concentrated-primordial-star-plasma-mixture	NEW	new ModLiquids	concentrated-primordial-star-plasma-mixture	"ModLiquids.get(""concentrated-primordial-star-plasma-mixture"")"	liquid.mindustry_newhorizon-concentrated-primordial-star-plasma-mixture
159	简并夸克胶子等离子体	Degenerate Quark-Gluon Plasma	degenerate-quark-gluon-plasma	NEW	new ModLiquids	degenerate-quark-gluon-plasma	"ModLiquids.get(""degenerate-quark-gluon-plasma"")"	liquid.mindustry_newhorizon-degenerate-quark-gluon-plasma
160	星门水晶浆液	Stargate Crystal Slurry	stargate-crystal-slurry	NEW	new ModLiquids	stargate-crystal-slurry	"ModLiquids.get(""stargate-crystal-slurry"")"	liquid.mindustry_newhorizon-stargate-crystal-slurry
161	轻燃油	Light Fuel Oil	light-fuel-oil	REUSE	existing GtLiquids	gt-light-fuel	GtLiquids.lightFuel	liquid.mindustry_newhorizon-gt-light-fuel
162	生物柴油	Biodiesel	biodiesel	NEW	new ModLiquids	biodiesel	"ModLiquids.get(""biodiesel"")"	liquid.mindustry_newhorizon-biodiesel
163	柴油	Diesel	diesel	REUSE	existing GtLiquids	gt-diesel	GtLiquids.diesel	liquid.mindustry_newhorizon-gt-diesel
164	汽油	Gasoline	gasoline	NEW	new ModLiquids	gasoline	"ModLiquids.get(""gasoline"")"	liquid.mindustry_newhorizon-gasoline
165	高十六烷值柴油	High Cetane Diesel	high-cetane-diesel	NEW	new ModLiquids	high-cetane-diesel	"ModLiquids.get(""high-cetane-diesel"")"	liquid.mindustry_newhorizon-high-cetane-diesel
166	乙醇汽油	Ethanol Gasoline	ethanol-gasoline	NEW	new ModLiquids	ethanol-gasoline	"ModLiquids.get(""ethanol-gasoline"")"	liquid.mindustry_newhorizon-ethanol-gasoline
167	航空煤油-3	Aviation Kerosene-3	aviation-kerosene-3	NEW	new ModLiquids	aviation-kerosene-3	"ModLiquids.get(""aviation-kerosene-3"")"	liquid.mindustry_newhorizon-aviation-kerosene-3
168	航空煤油A	Aviation Kerosene A	aviation-kerosene-a	NEW	new ModLiquids	aviation-kerosene-a	"ModLiquids.get(""aviation-kerosene-a"")"	liquid.mindustry_newhorizon-aviation-kerosene-a
169	高辛烷值汽油	High Octane Gasoline	high-octane-gasoline	NEW	new ModLiquids	high-octane-gasoline	"ModLiquids.get(""high-octane-gasoline"")"	liquid.mindustry_newhorizon-high-octane-gasoline
170	天然气	Natural Gas	natural-gas	NEW	new ModLiquids	natural-gas	"ModLiquids.get(""natural-gas"")"	liquid.mindustry_newhorizon-natural-gas
171	木炭气	Charcoal Gas	charcoal-gas	NEW	new ModLiquids	charcoal-gas	"ModLiquids.get(""charcoal-gas"")"	liquid.mindustry_newhorizon-charcoal-gas
172	沼气	Biogas	biogas	NEW	new ModLiquids	biogas	"ModLiquids.get(""biogas"")"	liquid.mindustry_newhorizon-biogas
173	煤气	Coal Gas	coal-gas	NEW	new ModLiquids	coal-gas	"ModLiquids.get(""coal-gas"")"	liquid.mindustry_newhorizon-coal-gas
174	炼油气	Refinery Gas	refinery-gas	NEW	new ModLiquids	refinery-gas	"ModLiquids.get(""refinery-gas"")"	liquid.mindustry_newhorizon-refinery-gas
175	石脑油	Naphtha	naphtha	NEW	new ModLiquids	naphtha	"ModLiquids.get(""naphtha"")"	liquid.mindustry_newhorizon-naphtha
176	液化石油气	Liquefied Petroleum Gas (LPG)	liquefied-petroleum-gas	NEW	new ModLiquids	liquefied-petroleum-gas	"ModLiquids.get(""liquefied-petroleum-gas"")"	liquid.mindustry_newhorizon-liquefied-petroleum-gas
177	硅岩气	Silicon Rock Gas	silicon-rock-gas	NEW	new ModLiquids	silicon-rock-gas	"ModLiquids.get(""silicon-rock-gas"")"	liquid.mindustry_newhorizon-silicon-rock-gas
178	邪恶气体	Evil Gas	evil-gas	NEW	new ModLiquids	evil-gas	"ModLiquids.get(""evil-gas"")"	liquid.mindustry_newhorizon-evil-gas
179	硝基苯	Nitrobenzene	nitrobenzene	NEW	new ModLiquids	nitrobenzene	"ModLiquids.get(""nitrobenzene"")"	liquid.mindustry_newhorizon-nitrobenzene
180	鱼油	Fish Oil	fish-oil	NEW	new ModLiquids	fish-oil	"ModLiquids.get(""fish-oil"")"	liquid.mindustry_newhorizon-fish-oil
181	种子油	Seed Oil	seed-oil	NEW	new ModLiquids	seed-oil	"ModLiquids.get(""seed-oil"")"	liquid.mindustry_newhorizon-seed-oil
182	煤焦	Coal Coke	coal-coke	NEW	new ModLiquids	coal-coke	"ModLiquids.get(""coal-coke"")"	liquid.mindustry_newhorizon-coal-coke
183	生物质	Biomass	biomass	REUSE	existing GtLiquids	gt-biomass	GtLiquids.biomass	liquid.mindustry_newhorizon-gt-biomass
184	煤焦油	Coal Tar	coal-tar	NEW	new ModLiquids	coal-tar	"ModLiquids.get(""coal-tar"")"	liquid.mindustry_newhorizon-coal-tar
185	含硫煤焦油	Sulfurous Coal Tar	sulfurous-coal-tar	NEW	new ModLiquids	sulfurous-coal-tar	"ModLiquids.get(""sulfurous-coal-tar"")"	liquid.mindustry_newhorizon-sulfurous-coal-tar
186	杂酚油	Creosote	creosote	NEW	new ModLiquids	creosote	"ModLiquids.get(""creosote"")"	liquid.mindustry_newhorizon-creosote
187	重燃油	Heavy Fuel Oil	heavy-fuel-oil	NEW	new ModLiquids	heavy-fuel-oil	"ModLiquids.get(""heavy-fuel-oil"")"	liquid.mindustry_newhorizon-heavy-fuel-oil
188	邪恶原油	Evil Crude Oil	evil-crude-oil	NEW	new ModLiquids	evil-crude-oil	"ModLiquids.get(""evil-crude-oil"")"	liquid.mindustry_newhorizon-evil-crude-oil
189	RP-1火箭燃料	RP-1 Rocket Fuel	rp-1-rocket-fuel	NEW	new ModLiquids	rp-1-rocket-fuel	"ModLiquids.get(""rp-1-rocket-fuel"")"	liquid.mindustry_newhorizon-rp-1-rocket-fuel
190	密集肼混合燃料	Dense Hydrazine Mixed Fuel	dense-hydrazine-mixed-fuel	NEW	new ModLiquids	dense-hydrazine-mixed-fuel	"ModLiquids.get(""dense-hydrazine-mixed-fuel"")"	liquid.mindustry_newhorizon-dense-hydrazine-mixed-fuel
191	CN3H7O3火箭燃料	CN3H7O3 Rocket Fuel	cn3h7o3-rocket-fuel	NEW	new ModLiquids	cn3h7o3-rocket-fuel	"ModLiquids.get(""cn3h7o3-rocket-fuel"")"	liquid.mindustry_newhorizon-cn3h7o3-rocket-fuel
192	H8N4C2O4火箭燃料	H8N4C2O4 Rocket Fuel	h8n4c2o4-rocket-fuel	NEW	new ModLiquids	h8n4c2o4-rocket-fuel	"ModLiquids.get(""h8n4c2o4-rocket-fuel"")"	liquid.mindustry_newhorizon-h8n4c2o4-rocket-fuel
193	铀基流体燃料	Uranium-Based Fluid Fuel	uranium-based-fluid-fuel	NEW	new ModLiquids	uranium-based-fluid-fuel	"ModLiquids.get(""uranium-based-fluid-fuel"")"	liquid.mindustry_newhorizon-uranium-based-fluid-fuel
194	钍基流体燃料	Thorium-Based Fluid Fuel	thorium-based-fluid-fuel	NEW	new ModLiquids	thorium-based-fluid-fuel	"ModLiquids.get(""thorium-based-fluid-fuel"")"	liquid.mindustry_newhorizon-thorium-based-fluid-fuel
195	钚基流体燃料	Plutonium-Based Fluid Fuel	plutonium-based-fluid-fuel	NEW	new ModLiquids	plutonium-based-fluid-fuel	"ModLiquids.get(""plutonium-based-fluid-fuel"")"	liquid.mindustry_newhorizon-plutonium-based-fluid-fuel
196	硅岩基流体燃料 MK-I	Silicon Rock-Based Fluid Fuel MK-I	silicon-rock-based-fluid-fuel-mk-i	NEW	new ModLiquids	silicon-rock-based-fluid-fuel-mk-i	"ModLiquids.get(""silicon-rock-based-fluid-fuel-mk-i"")"	liquid.mindustry_newhorizon-silicon-rock-based-fluid-fuel-mk-i
197	硅岩基流体燃料 MK-II	Silicon Rock-Based Fluid Fuel MK-II	silicon-rock-based-fluid-fuel-mk-ii	NEW	new ModLiquids	silicon-rock-based-fluid-fuel-mk-ii	"ModLiquids.get(""silicon-rock-based-fluid-fuel-mk-ii"")"	liquid.mindustry_newhorizon-silicon-rock-based-fluid-fuel-mk-ii
198	硅岩基流体燃料 MK-III	Silicon Rock-Based Fluid Fuel MK-III	silicon-rock-based-fluid-fuel-mk-iii	NEW	new ModLiquids	silicon-rock-based-fluid-fuel-mk-iii	"ModLiquids.get(""silicon-rock-based-fluid-fuel-mk-iii"")"	liquid.mindustry_newhorizon-silicon-rock-based-fluid-fuel-mk-iii
199	硅岩基流体燃料 MK-IV	Silicon Rock-Based Fluid Fuel MK-IV	silicon-rock-based-fluid-fuel-mk-iv	NEW	new ModLiquids	silicon-rock-based-fluid-fuel-mk-iv	"ModLiquids.get(""silicon-rock-based-fluid-fuel-mk-iv"")"	liquid.mindustry_newhorizon-silicon-rock-based-fluid-fuel-mk-iv
200	硅岩基流体燃料 MK-V	Silicon Rock-Based Fluid Fuel MK-V	silicon-rock-based-fluid-fuel-mk-v	NEW	new ModLiquids	silicon-rock-based-fluid-fuel-mk-v	"ModLiquids.get(""silicon-rock-based-fluid-fuel-mk-v"")"	liquid.mindustry_newhorizon-silicon-rock-based-fluid-fuel-mk-v
201	硅岩基流体燃料 MK-VI	Silicon Rock-Based Fluid Fuel MK-VI	silicon-rock-based-fluid-fuel-mk-vi	NEW	new ModLiquids	silicon-rock-based-fluid-fuel-mk-vi	"ModLiquids.get(""silicon-rock-based-fluid-fuel-mk-vi"")"	liquid.mindustry_newhorizon-silicon-rock-based-fluid-fuel-mk-vi
202	汞	Mercury	mercury	REUSE	existing GtLiquids	gt-mercury	GtLiquids.mercury	liquid.mindustry_newhorizon-gt-mercury
203	工业氯化氢	Industrial Hydrogen Chloride	industrial-hydrogen-chloride	NEW	new ModLiquids	industrial-hydrogen-chloride	"ModLiquids.get(""industrial-hydrogen-chloride"")"	liquid.mindustry_newhorizon-industrial-hydrogen-chloride
204	氯磺酸	Chlorosulfonic Acid	chlorosulfonic-acid	NEW	new ModLiquids	chlorosulfonic-acid	"ModLiquids.get(""chlorosulfonic-acid"")"	liquid.mindustry_newhorizon-chlorosulfonic-acid
